state,votes,area,total,male_18_20,female_18_20,male_21_29,female_21_29,male_30_39,female_30_39,male_40_49,female_40_49,male_50_59,female_50_59,male_60_69,female_60_69,male_70_79,female_70_79,male_80_89,female_80_89,male_90_above,female_90_above,State Government,Bumi,Chinese,Indian,Others,Pakatan Harapan,Barisan Nasional,Perikatan Nasional,other,Gabungan Rakyat Sabah,Gabungan Parti Sarawak,majority
Sarawak,1178867,124450,1943074,66788,62246,213674,201971,209096,201050,166791,164882,147774,147959,106303,107995,48001,54503,13402,19736,3789,7114,GPS,75.7,23.8,0.2,0.3,6,0,1,1,0,23,Gabungan Parti Sarawak
Selangor,2930278,8104,3677848,141058,132645,433905,411112,394019,383656,314957,328138,262624,277185,179978,199133,75893,89325,18476,27369,3773,4602,PH + BN,60.6,27.3,11.3,0.8,16,0,6,0,0,0,Pakatan Harapan
Terengganu,739816,13035,922856,33579,31543,112168,108098,121087,117368,80019,78891,56085,59375,38097,41323,15674,18426,3336,6139,618,1030,PN,97.6,2.1,0.2,0.1,0,0,8,0,0,0,Perikatan Nasional
Kuala Lumpur,855194,243,1151407,28928,26907,104994,95623,124223,111470,103283,101702,91363,96172,75313,83030,35409,42429,10268,14601,2759,2933,Federal Territories,47.7,41.6,10,0.7,10,1,0,0,0,0,Pakatan Harapan
Labuan,28449,91,44484,1690,1535,5509,4973,5685,5201,3619,3339,2997,2803,2478,2171,922,830,247,281,115,89,Federal Territories,86.2,11.7,1.1,1,0,0,1,0,0,0,Perikatan Nasional
Putrajaya,36643,49,42881,1911,1660,4587,4420,6137,6583,4632,4756,2147,2235,1467,1720,293,274,25,32,1,1,Federal Territories,97.9,0.6,1.2,0.3,0,0,1,0,0,0,Perikatan Nasional
Total,15613152,330803,21173638,717479,676070,2366214,2248215,2384332,2297015,1829232,1816016,1490104,1537394,1090040,1187031,497610,596341,139193,214438,37283,49631,,69.9,22.8,6.6,0.7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
